"Story","Title","Result","Date","Stability","Duration (s)"
"Compra producto","Compra producto con data externa","SUCCESS","2023-05-25T21:32:41.702-05:00[America/Bogota]","0.0","36.03"
"Registro de usuario","Registro de ususario exitoso","SUCCESS","2023-05-25T21:33:47.869-05:00[America/Bogota]","0.0","30.57"
