"Story","Title","Result","Date","Stability","Duration (s)"
"Compra producto","Compra producto con data externa","PENDING","2023-05-22T20:33:11.488-05:00[America/Bogota]","0.0","0.35"
"Compra producto","Compra producto con data externa","SUCCESS","2023-05-25T21:32:41.702-05:00[America/Bogota]","0.0","36.03"
"Inicio sesion","Inicio sesion exitoso","SUCCESS","2023-05-25T21:33:18.698-05:00[America/Bogota]","0.0","27.82"
"Registro Usuario","Registrar exitoso Usuario","SUCCESS","2023-05-24T12:01:51.65-05:00[America/Bogota]","0.0","27.97"
"Registro de usuario","Registro de ususario exitoso","SUCCESS","2023-05-25T21:33:47.869-05:00[America/Bogota]","0.0","30.57"
